City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,"Landfill Location (Lat, Long)",Landfill Capacity (Tons),Year
Ahmedabad,Hazardous,3762,69,9464,7,Incineration,4671,11,Ahmedabad Landfill,"19.3868, 72.7845",69399,2020
Ahmedabad,Plastic,4012,58,9464,7,Landfill,3619,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,2021
Ahmedabad,Organic,7895,78,9464,5,Landfill,4526,20,Ahmedabad Landfill,"19.3868, 72.7845",69399,2021
Ahmedabad,E-Waste,7663,74,9464,5,Landfill,4370,4,Ahmedabad Landfill,"19.3868, 72.7845",69399,2021
Ahmedabad,Construction,4118,79,9464,10,Landfill,2440,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,2021
Ahmedabad,Hazardous,5791,43,9464,9,Incineration,4871,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,2021
Ahmedabad,Plastic,1334,55,9464,8,Composting,1390,1,Ahmedabad Landfill,"19.3868, 72.7845",69399,2022
Ahmedabad,Organic,3467,42,9464,10,Composting,2845,19,Ahmedabad Landfill,"19.3868, 72.7845",69399,2022
Ahmedabad,E-Waste,2458,58,9464,7,Landfill,1591,4,Ahmedabad Landfill,"19.3868, 72.7845",69399,2022
Ahmedabad,Construction,690,30,9464,6,Composting,2807,8,Ahmedabad Landfill,"19.3868, 72.7845",69399,2022
Ahmedabad,Hazardous,4104,83,9464,9,Incineration,3750,5,Ahmedabad Landfill,"19.3868, 72.7845",69399,2022
Ahmedabad,Plastic,9593,38,9464,10,Recycling,3688,15,Ahmedabad Landfill,"19.3868, 72.7845",69399,2023
Ahmedabad,Organic,3814,69,9464,7,Recycling,3256,0,Ahmedabad Landfill,"19.3868, 72.7845",69399,2023
Ahmedabad,E-Waste,2978,30,9464,5,Incineration,1070,10,Ahmedabad Landfill,"19.3868, 72.7845",69399,2023
Ahmedabad,Construction,8892,54,9464,5,Composting,2781,20,Ahmedabad Landfill,"19.3868, 72.7845",69399,2023
Ahmedabad,Hazardous,7540,78,9464,6,Recycling,3134,7,Ahmedabad Landfill,"19.3868, 72.7845",69399,2023
Jaipur,Plastic,5518,33,2335,5,Incineration,835,2,Jaipur Landfill,"11.6909, 94.4267",71127,2019
Jaipur,Organic,6249,44,2335,7,Composting,2634,8,Jaipur Landfill,"11.6909, 94.4267",71127,2019
Jaipur,E-Waste,5899,68,2335,5,Incineration,1058,14,Jaipur Landfill,"11.6909, 94.4267",71127,2019
Jaipur,Construction,3452,48,2335,7,Recycling,4230,14,Jaipur Landfill,"11.6909, 94.4267",71127,2019
Jaipur,Hazardous,4108,31,2335,9,Landfill,3132,2,Jaipur Landfill,"11.6909, 94.4267",71127,2019
Jaipur,Plastic,9183,55,2335,6,Landfill,1898,12,Jaipur Landfill,"11.6909, 94.4267",71127,2020
Jaipur,Organic,6175,80,2335,9,Recycling,765,19,Jaipur Landfill,"11.6909, 94.4267",71127,2020
Jaipur,E-Waste,9774,51,2335,10,Incineration,1909,7,Jaipur Landfill,"11.6909, 94.4267",71127,2020
Jaipur,Construction,7448,81,2335,9,Landfill,3668,0,Jaipur Landfill,"11.6909, 94.4267",71127,2020
Jaipur,Hazardous,9780,63,2335,9,Composting,2809,3,Jaipur Landfill,"11.6909, 94.4267",71127,2020
Jaipur,Plastic,6413,63,2335,10,Recycling,3165,20,Jaipur Landfill,"11.6909, 94.4267",71127,2021
Jaipur,Organic,1018,70,2335,8,Recycling,4760,10,Jaipur Landfill,"11.6909, 94.4267",71127,2021
Jaipur,E-Waste,4152,65,2335,7,Recycling,657,5,Jaipur Landfill,"11.6909, 94.4267",71127,2021
Jaipur,Construction,9976,59,2335,5,Incineration,2344,15,Jaipur Landfill,"11.6909, 94.4267",71127,2021
Jaipur,Hazardous,5281,36,2335,9,Incineration,1944,10,Jaipur Landfill,"11.6909, 94.4267",71127,2021
Jaipur,Plastic,8379,55,2335,9,Landfill,2826,19,Jaipur Landfill,"11.6909, 94.4267",71127,2022
Jaipur,Organic,8991,49,2335,9,Landfill,4032,15,Jaipur Landfill,"11.6909, 94.4267",71127,2022
Jaipur,E-Waste,3448,85,2335,10,Landfill,1049,3,Jaipur Landfill,"11.6909, 94.4267",71127,2022
Jaipur,Construction,9043,54,2335,9,Composting,4211,19,Jaipur Landfill,"11.6909, 94.4267",71127,2022
Jaipur,Hazardous,8600,60,2335,7,Incineration,3201,1,Jaipur Landfill,"11.6909, 94.4267",71127,2022
Jaipur,Plastic,5068,53,2335,6,Composting,3801,11,Jaipur Landfill,"11.6909, 94.4267",71127,2023
Jaipur,Organic,6958,65,2335,5,Composting,1632,6,Jaipur Landfill,"11.6909, 94.4267",71127,2023
Jaipur,E-Waste,2534,45,2335,5,Composting,1614,15,Jaipur Landfill,"11.6909, 94.4267",71127,2023
Jaipur,Construction,5821,79,2335,9,Landfill,3734,1,Jaipur Landfill,"11.6909, 94.4267",71127,2023
Jaipur,Hazardous,4527,67,2335,7,Composting,2453,9,Jaipur Landfill,"11.6909, 94.4267",71127,2023
Lucknow,Plastic,9719,47,23465,7,Incineration,1414,11,Lucknow Landfill,"10.3904, 81.8808",80251,2019
Lucknow,Organic,3449,55,23465,6,Landfill,4823,12,Lucknow Landfill,"10.3904, 81.8808",80251,2019
Lucknow,E-Waste,9765,52,23465,10,Recycling,2068,15,Lucknow Landfill,"10.3904, 81.8808",80251,2019
Lucknow,Construction,4061,53,23465,8,Incineration,1863,17,Lucknow Landfill,"10.3904, 81.8808",80251,2019
Lucknow,Hazardous,5427,49,23465,9,Landfill,1299,16,Lucknow Landfill,"10.3904, 81.8808",80251,2019
Lucknow,Plastic,9676,30,23465,9,Recycling,527,16,Lucknow Landfill,"10.3904, 81.8808",80251,2020
Lucknow,Organic,974,33,23465,10,Landfill,1791,2,Lucknow Landfill,"10.3904, 81.8808",80251,2020
Lucknow,E-Waste,8698,71,23465,5,Landfill,4353,10,Lucknow Landfill,"10.3904, 81.8808",80251,2020
Lucknow,Construction,979,56,23465,5,Landfill,3187,8,Lucknow Landfill,"10.3904, 81.8808",80251,2020
Lucknow,Hazardous,6425,52,23465,8,Incineration,2200,8,Lucknow Landfill,"10.3904, 81.8808",80251,2020
